study,subject_nr,amount_pair,delay_pair,amount_similarity,delay_similarity,itc_control_choice,itc_amount_social_info,itc_delay_social_info,amount_delay_social_info,itc_social_choice,miss_score,median_miss_score,suggestibility_level,sns_score,sns_level,overall_bnt_score,age,ethnicity,gender,control_social,amount_delay,similarity_judgment,task_social_info,social_info
1,105,36_43,16_21,0,1,1,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,16_21,6_13,1,0,0,1,1,S_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,47_53,22_27,1,1,1,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,25_30,36_43,1,1,0,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,48_54,22_27,0,1,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,41_47,19_24,0,1,0,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,10_15,23_29,1,0,0,1,0,S_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,18_24,7_12,0,1,1,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,16_21,5_11,1,0,0,1,0,S_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,4_8,18_25,1,1,0,0,1,D_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,13_18,30_37,1,1,0,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,13_18,29_35,1,0,0,0,1,D_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,10_15,24_31,1,0,0,0,0,D_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,48_55,22_27,0,1,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,41_48,19_24,0,1,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,19_24,12_18,1,1,0,0,0,D_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,4_8,17_23,1,0,1,1,1,S_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,11_18,4_8,1,1,1,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,12_19,4_8,0,1,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,4_8,17_24,1,0,0,1,0,S_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,17_24,7_12,0,1,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,5_12,10_15,0,1,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,16_21,5_12,1,0,0,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,19_24,11_17,1,1,0,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,19_24,11_18,1,0,0,1,1,S_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,22_27,42_48,1,1,1,0,1,D_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,19_24,12_19,1,1,0,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,18_25,7_12,0,1,1,0,0,D_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,47_54,22_27,0,1,1,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,30_36,25_30,1,0,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,7_12,48_54,1,0,0,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,42_48,19_24,1,1,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,25_30,35_42,1,0,0,0,0,D_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,6_13,10_15,0,1,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,11_17,4_8,0,1,1,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,25_30,35_41,1,0,0,1,0,S_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,7_12,47_54,1,0,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,7_12,48_55,1,0,0,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,16_21,6_12,1,0,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,6_12,10_15,1,1,1,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,23_30,13_18,1,1,1,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,13_18,30_36,1,1,1,0,0,D_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,22_27,42_49,1,0,0,1,0,S_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,29_35,25_30,0,0,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,22_27,41_48,1,0,0,1,1,S_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,22_27,41_47,1,1,1,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
